Date,HargaJual,HargaBeli,Inflasi,HargaMinyak,KursJual,KursBeli,Tanggal,Bulan,Tahun
19/05/2022,857000,973000,3.47,108.13,14755.41,14608.59,,,
18/05/2022,855000,971000,3.47,109.59,14724.26,14577.75,,,
17/05/2022,858000,974000,3.47,112.4,14692.1,14545.91,,,
16/05/2022,852000,967000,3.47,114.2,14657.93,14512.08,,,
15/05/2022,852000,967000,3.47,110.49,14657.93,14512.08,,,
14/05/2022,852000,967000,3.47,110.49,14657.93,14512.08,,,
13/05/2022,855000,969000,3.47,110.49,14657.93,14512.08,,,
12/05/2022,867000,975000,3.47,106.13,14618.73,14473.27,,,
11/05/2022,858000,966000,3.47,105.71,14618.73,14473.27,,,
10/05/2022,866000,970000,3.47,99.76,14606.67,14461.33,,,
09/05/2022,876000,977000,3.47,103.09,14552.4,14407.6,,,
08/05/2022,876000,975000,3.47,109.77,14490.09,14345.91,,,
07/05/2022,876000,975000,3.47,109.77,14490.09,14345.91,,,
06/05/2022,876000,975000,3.47,109.77,14490.09,14345.91,,,
05/05/2022,876000,975000,3.47,108.26,14490.09,14345.91,,,
04/05/2022,876000,975000,3.47,107.81,14490.09,14345.91,,,
03/05/2022,876000,975000,3.47,102.41,14490.09,14345.91,,,
02/05/2022,876000,975000,3.47,105.17,14490.09,14345.91,,,
01/05/2022,876000,975000,3.47,104.69,14490.09,14345.91,,,
30/04/2022,876000,975000,3.47,104.69,14490.09,14345.91,,,
29/04/2022,876000,975000,3.47,104.69,14490.09,14345.91,,,
28/04/2022,876000,975000,3.47,105.36,14490.09,14345.91,,,
27/04/2022,885000,981000,3.47,102.02,14484.06,14339.94,,,
26/04/2022,886000,982000,3.47,101.7,14524.26,14379.74,,,
25/04/2022,892000,892000,3.47,98.54,14432.81,14289.2,,,
24/04/2022,893000,989000,3.47,102.07,14419.74,14276.26,,,
23/04/2022,893000,989000,3.47,102.07,14419.74,14276.26,,,
22/04/2022,901000,997000,3.47,102.07,14419.74,14276.26,,,
21/04/2022,902000,998000,3.47,103.79,14422.76,14279.25,,,
20/04/2022,899000,995000,3.47,102.75,14418.74,14275.27,,,
19/04/2022,912000,1007000,3.47,102.56,14427.78,14284.22,,,
18/04/2022,915000,1010000,3.47,108.21,14420.75,14277.26,,,
17/04/2022,910000,1005000,3.47,106.95,14430.8,14287.21,,,
16/04/2022,910000,1005000,3.47,106.95,14430.8,14287.21,,,
15/04/2022,910000,1005000,3.47,106.95,14430.8,14287.21,,,
14/04/2022,911000,1006000,3.47,106.95,14430.8,14287.21,,,
13/04/2022,907000,1002000,3.47,104.25,14435.82,14292.18,,,
12/04/2022,902000,997000,3.47,100.6,14441.85,14298.15,,,
11/04/2022,898000,993000,3.47,94.29,14436.83,14293.18,,,
10/04/2022,899000,994000,3.47,98.26,14430.8,14287.21,,,
09/04/2022,899000,994000,3.47,98.26,14430.8,14287.21,,,
08/04/2022,893000,988000,3.47,98.26,14430.8,14287.21,,,
07/04/2022,889000,984000,3.47,96.03,14435.82,14292.18,,,
06/04/2022,887000,983000,3.47,96.23,14419.74,14276.26,,,
05/04/2022,892000,988000,3.47,101.96,14433.81,14290.19,,,
04/04/2022,889000,985000,3.47,103.28,14435.82,14292.18,,,
03/04/2022,889000,985000,3.47,99.27,14428.79,14285.22,,,
02/04/2022,889000,985000,3.47,99.27,14428.79,14285.22,,,
01/04/2022,893000,989000,3.47,99.27,14428.79,14285.22,,,
31/03/2022,891000,987000,2.64,100.28,14420.75,14277.26,,,
30/03/2022,887000,983000,2.64,107.82,14435.82,14292.18,,,
29/03/2022,889000,985000,2.64,104.24,14431.8,14288.2,,,
28/03/2022,903000,999000,2.64,105.96,14412.71,14269.3,,,
27/03/2022,903000,999000,2.64,113.9,14432.81,14289.2,,,
26/03/2022,903000,999000,2.64,113.9,14432.81,14289.2,,,
25/03/2022,904000,1000000,2.64,113.9,14432.81,14289.2,,,
24/03/2022,898000,994000,2.64,112.34,14422.76,14279.25,,,
23/03/2022,887000,984000,2.64,114.93,14429.79,14286.21,,,
22/03/2022,892000,989000,2.64,111.76,14412.71,14269.3,,,
21/03/2022,886000,983000,2.64,112.12,14411.7,14268.3,,,
20/03/2022,887000,984000,2.64,104.7,14361.45,14218.55,,,
19/03/2022,887000,984000,2.64,104.7,14361.45,14218.55,,,
18/03/2022,894000,991000,2.64,104.7,14361.45,14218.55,,,
17/03/2022,888000,986000,2.64,102.98,14382.56,14239.45,,,
16/03/2022,886000,984000,2.64,95.04,14392.61,14249.4,,,
15/03/2022,900000,994000,2.64,96.44,14399.64,14256.36,,,
14/03/2022,908000,1001000,2.64,103.01,14377.53,14234.47,,,
