Date,Tanggal,Bulan,Tahun,HargaJual,HargaBeli,Inflasi,HargaMinyak,KursJual,Kursbeli
31/07/2021,31,7,2021,843000,948000,1.52,73.95,14570,14426
30/07/2021,30,7,2021,850000,953000,1.52,73.95,14570,14426
29/07/2021,29,7,2021,842000,945000,1.52,73.62,14570,14426
28/07/2021,28,7,2021,837000,940000,1.52,72.39,14561,14417
27/07/2021,27,7,2021,837000,940000,1.52,71.65,14566,14422
26/07/2021,26,7,2021,839000,942000,1.52,71.91,14574,14429
25/07/2021,25,7,2021,840000,943000,1.52,72.07,14581,14435
24/07/2021,24,7,2021,840000,943000,1.52,72.07,14581,14435
23/07/2021,23,7,2021,843000,946000,1.52,72.07,14581,14435
22/07/2021,22,7,2021,843000,946000,1.52,71.91,14627,14481
21/07/2021,21,7,2021,844000,947000,1.52,70.3,14597,14451
20/07/2021,20,7,2021,847000,950000,1.52,67.42,14590,14444
19/07/2021,19,7,2021,847000,950000,1.52,66.42,14590,14444
18/07/2021,18,7,2021,846000,949000,1.52,71.81,14576,14430
17/07/2021,17,7,2021,846000,949000,1.52,71.81,14576,14430
16/07/2021,16,7,2021,854000,956000,1.52,71.81,14576,14430
15/07/2021,15,7,2021,850000,953000,1.52,71.65,14565,14421
14/07/2021,14,7,2021,840000,945000,1.52,73.13,14558,14414
13/07/2021,13,7,2021,841000,946000,1.52,75.25,14558,14414
12/7/2021,12,7,2021,845000,950000,1.52,74.1,14540,14396
11/7/2021,11,7,2021,845000,950000,1.52,74.56,14540,14396
10/7/2021,10,7,2021,845000,950000,1.52,74.56,14540,14396
9/7/2021,9,7,2021,842000,947000,1.52,74.56,14540,14396
8/7/2021,8,7,2021,840000,945000,1.52,72.94,14540,14396
7/7/2021,7,7,2021,835000,940000,1.52,72.2,14540,14396
6/7/2021,6,7,2021,834000,939000,1.52,73.37,14388,14244
5/7/2021,5,7,2021,836000,941000,1.52,76.25,14436,14292
4/7/2021,4,7,2021,837000,942000,1.52,75.14,14592,14446
3/7/2021,3,7,2021,837000,942000,1.52,75.16,14008,13868
2/7/2021,2,7,2021,830000,935000,1.52,75.16,14008,13868
1/7/2021,1,7,2021,827000,932000,1.52,75.23,14008,13868
30/06/2021,30,6,2021,822000,927000,1.33,73.47,14568,14424
29/06/2021,29,6,2021,827000,932000,1.33,72.98,14544,14400
28/06/2021,28,6,2021,828000,933000,1.33,72.91,14519,14375
27/06/2021,27,6,2021,829000,934000,1.33,74.05,14534,14390
26/06/2021,26,6,2021,829000,934000,1.33,74.05,14534,14390
25/06/2021,25,6,2021,828000,932000,1.33,74.05,14534,14390
24/06/2021,24,6,2021,828000,932000,1.33,73.3,14526,14382
23/06/2021,23,6,2021,827000,930000,1.33,73.08,14493,14349
22/06/2021,22,6,2021,829000,932000,1.33,73.06,14525,14381
21/06/2021,21,6,2021,820000,820000,1.33,73.66,14475,14331
20/06/2021,20,6,2021,822000,920000,1.33,71.64,14450,14306
19/06/2021,19,6,2021,822000,920000,1.33,71.64,14450,14306
18/06/2021,18,6,2021,822000,920000,1.33,71.64,14450,14306
17/06/2021,17,6,2021,833000,928000,1.33,71.04,14328,14186
16/06/2021,16,6,2021,850000,940000,1.33,72.15,14315,14173
15/06/2021,15,6,2021,853000,943000,1.33,72.12,14293,14151
14/06/2021,14,6,2021,855000,945000,1.33,70.88,14277,14135
13/06/2021,13,6,2021,858000,948000,1.33,70.91,14554,14410
12/6/2021,12,6,2021,858000,948000,1.33,70.91,14554,14410
11/6/2021,11,6,2021,868000,957000,1.33,70.91,14554,14410
10/6/2021,10,6,2021,865000,954000,1.33,70.29,14554,14410
9/6/2021,9,6,2021,868000,957000,1.33,69.96,14554,14410
8/6/2021,8,6,2021,871000,960000,1.33,70.05,14554,14410
7/6/2021,7,6,2021,870000,959000,1.33,69.23,14554,14410
6/6/2021,6,6,2021,871000,960000,1.33,69.62,14511,14367
5/6/2021,5,6,2021,871000,960000,1.33,69.62,14511,14367
4/6/2021,4,6,2021,860000,949000,1.33,69.62,14606,14460
3/6/2021,3,6,2021,875000,964000,1.33,68.81,13996,13856
2/6/2021,2,6,2021,871000,961000,1.33,68.83,13996,13856
1/6/2021,1,6,2021,875000,965000,1.33,67.72,13996,13856
31/05/2021,31,5,2021,875000,965000,1.68,66.96,14382,14238
30/05/2021,30,5,2021,875000,965000,1.68,66.59,14384,14240
29/05/2021,29,5,2021,875000,965000,1.68,66.32,14384,14240
28/05/2021,28,5,2021,872000,962000,1.68,66.32,14384,14240
27/05/2021,27,5,2021,872000,962000,1.68,66.85,14407,14263
26/05/2021,26,5,2021,865000,955000,1.68,66.21,14434,14290
25/05/2021,25,5,2021,865000,955000,1.68,66.07,14434,14290
24/05/2021,24,5,2021,869000,959000,1.68,66.05,14447,14303
23/05/2021,23,5,2021,868000,958000,1.68,63.58,14468,14324
22/05/2021,22,5,2021,868000,958000,1.68,63.58,14468,14324
21/05/2021,21,5,2021,867000,957000,1.68,63.58,14468,14324
20/05/2021,20,5,2021,857000,947000,1.68,62.05,14385,14241
19/05/2021,19,5,2021,858000,948000,1.68,63.36,14372,14229
18/05/2021,18,5,2021,857000,947000,1.68,65.49,14355,14213
17/05/2021,17,5,2021,842000,937000,1.68,66.27,14274,14132
16/05/2021,16,5,2021,837000,933000,1.68,65.37,14269,14127
15/05/2021,15,5,2021,837000,933000,1.68,65.37,14269,14127
14/05/2021,14,5,2021,837000,933000,1.68,65.37,14269,14127
13/05/2021,13,5,2021,837000,933000,1.68,63.82,14269,14127
12/5/2021,12,5,2021,837000,933000,1.68,66.08,14637,14491
11/5/2021,11,5,2021,837000,933000,1.68,65.28,14637,14491
10/5/2021,10,5,2021,841000,937000,1.68,64.92,14637,14491
9/5/2021,9,5,2021,841000,937000,1.68,64.9,14637,14491
8/5/2021,8,5,2021,841000,937000,1.68,64.9,14637,14491
7/5/2021,7,5,2021,838000,934000,1.68,64.9,14637,14491
6/5/2021,6,5,2021,829000,926000,1.68,64.71,14503,14359
5/5/2021,5,5,2021,825000,922000,1.68,65.63,14503,14359
4/5/2021,4,5,2021,833000,930000,1.68,65.69,14657,14511
3/5/2021,3,5,2021,822000,921000,1.68,64.49,14443,14299
2/5/2021,2,5,2021,822000,921000,1.68,63.58,14132,13992
1/5/2021,1,5,2021,822000,921000,1.68,63.58,14015,13875
30/04/2021,30,4,2021,823000,922000,1.42,63.58,14540,14396
29/04/2021,29,4,2021,832000,931000,1.42,65.01,14583,14437
28/04/2021,28,4,2021,825000,926000,1.42,63.86,14569,14425
27/04/2021,27,4,2021,829000,930000,1.42,62.94,14561,14417
26/04/2021,26,4,2021,831000,933000,1.42,61.91,14621,14475
25/04/2021,25,4,2021,831000,933000,1.42,62.14,14603,14457
24/04/2021,24,4,2021,831000,933000,1.42,62.14,14603,14457
23/04/2021,23,4,2021,833000,935000,1.42,62.14,14603,14457
22/04/2021,22,4,2021,838000,940000,1.42,61.43,14622,14476
21/04/2021,21,4,2021,828000,932000,1.42,61.35,14581,14435
20/04/2021,20,4,2021,829000,933000,1.42,62.44,14641,14495
19/04/2021,19,4,2021,835000,939000,1.42,63.38,14665,14519
18/04/2021,18,4,2021,832000,937000,1.42,63.13,14719,14573
17/04/2021,17,4,2021,832000,937000,1.42,63.13,14719,14573
16/04/2021,16,4,2021,830000,935000,1.42,63.13,14719,14573
15/04/2021,15,4,2021,817000,925000,1.42,63.46,14706,14560
14/04/2021,14,4,2021,822000,930000,1.42,63.15,14721,14575
13/04/2021,13,4,2021,814000,924000,1.42,60.18,14704,14558
12/4/2021,12,4,2021,816000,926000,1.42,59.7,14368,14226
11/4/2021,11,4,2021,817000,927000,1.42,59.32,14368,14226
10/4/2021,10,4,2021,817000,927000,1.42,59.32,14368,14226
9/4/2021,9,4,2021,821000,931000,1.42,59.32,14368,14226
8/4/2021,8,4,2021,810000,922000,1.42,59.6,14368,14226
7/4/2021,7,4,2021,812000,924000,1.42,59.77,14368,14226
6/4/2021,6,4,2021,808000,920000,1.42,59.33,14368,14226
5/4/2021,5,4,2021,809000,921000,1.42,58.65,14539,14395
4/4/2021,4,4,2021,810000,922000,1.42,61.45,14371,14228
3/4/2021,3,4,2021,810000,922000,1.42,61.45,14371,14228
2/4/2021,2,4,2021,810000,922000,1.42,61.45,14106,13966
1/4/2021,1,4,2021,799000,913000,1.42,61.45,13973,13833
31/03/2021,31,3,2021,784000,903000,1.37,59.16,14645,14499
30/03/2021,30,3,2021,794000,911000,1.37,60.55,14553,14409
29/03/2021,29,3,2021,804000,921000,1.37,61.56,14506,14362
28/03/2021,28,3,2021,804000,922000,1.37,60.97,14518,14374
27/03/2021,27,3,2021,804000,922000,1.37,60.97,14518,14374
26/03/2021,26,3,2021,803000,921000,1.37,60.97,14518,14374
25/03/2021,25,3,2021,805000,924000,1.37,58.56,14536,14392
24/03/2021,24,3,2021,800000,921000,1.37,61.18,14527,14383
23/03/2021,23,3,2021,808000,929000,1.37,57.76,14493,14349
22/03/2021,22,3,2021,808000,931000,1.37,61.55,14528,14384
21/03/2021,21,3,2021,810000,934000,1.37,61.42,14548,14404
20/03/2021,20,3,2021,810000,934000,1.37,61.42,14548,14404
19/03/2021,19,3,2021,802000,925000,1.37,61.42,14548,14404
18/03/2021,18,3,2021,812000,935000,1.37,60,14484,14340
17/03/2021,17,3,2021,801000,927000,1.37,64.6,14531,14387
16/03/2021,16,3,2021,801000,927000,1.37,64.8,14496,14352
15/03/2021,15,3,2021,796000,924000,1.37,65.39,14490,14346
14/03/2021,14,3,2021,797000,926000,1.37,65.61,14347,14205
13/03/2021,13,3,2021,797000,926000,1.37,65.61,14347,14205
12/3/2021,12,3,2021,799000,929000,1.37,65.61,14347,14205
11/3/2021,11,3,2021,800000,930000,1.37,66.02,14347,14205
10/3/2021,10,3,2021,798000,930000,1.37,64.44,14347,14205
9/3/2021,9,3,2021,778000,915000,1.37,64.01,14347,14205
8/3/2021,8,3,2021,787000,924000,1.37,65.05,14347,14205
7/3/2021,7,3,2021,785000,923000,1.37,66.09,14347,14205
6/3/2021,6,3,2021,785000,923000,1.37,66.09,14347,14205
5/3/2021,5,3,2021,777000,918000,1.37,66.09,14525,14381
4/3/2021,4,3,2021,788000,923000,1.37,63.83,14406,14262
3/3/2021,3,3,2021,798000,928000,1.37,61.28,14406,14262
2/3/2021,2,3,2021,792000,923000,1.37,59.75,14087,13947
1/3/2021,1,3,2021,796000,923000,1.37,60.64,14300,14158
28/02/2021,28,2,2021,794000,917000,1.38,61.5,14300,14158
27/02/2021,27,2,2021,794000,917000,1.38,61.5,14300,14158
26/02/2021,26,2,2021,802000,922000,1.38,61.5,14300,14158
25/02/2021,25,2,2021,814000,934000,1.38,63.53,14175,14033
24/02/2021,24,2,2021,818000,938000,1.38,63.22,14159,14019
23/02/2021,23,2,2021,818000,938000,1.38,61.67,14197,14055
22/02/2021,22,2,2021,807000,930000,1.38,61.49,14168,14028
21/02/2021,21,2,2021,807000,930000,1.38,59.24,14155,14015
20/02/2021,20,2,2021,807000,930000,1.38,59.24,14155,14015
19/02/2021,19,2,2021,798000,923000,1.38,59.24,14155,14015
18/02/2021,18,2,2021,800000,925000,1.38,60.52,14129,13989
17/02/2021,17,2,2021,796000,922000,1.38,61.14,14089,13949
16/02/2021,16,2,2021,815000,935000,1.38,60.05,13944,13806
15/02/2021,15,2,2021,820000,940000,1.38,60.09,14016,13876
14/02/2021,14,2,2021,820000,940000,1.38,60.37,14612,14466
13/02/2021,13,2,2021,820000,940000,1.38,59.47,14612,14466
12/2/2021,12,2,2021,825000,945000,1.38,59.47,14612,14466
11/2/2021,11,2,2021,825000,945000,1.38,58.24,14612,14466
10/2/2021,10,2,2021,825000,945000,1.38,58.68,14612,14466
9/2/2021,9,2,2021,823000,943000,1.38,58.36,14612,14466
8/2/2021,8,2,2021,819000,940000,1.38,57.97,14612,14466
7/2/2021,7,2,2021,820000,940000,1.38,56.85,14612,14466
6/2/2021,6,2,2021,820000,940000,1.38,56.85,14363,14221
5/2/2021,5,2,2021,810000,930000,1.38,56.85,14650,14504
4/2/2021,4,2,2021,826000,943000,1.38,56.23,14650,14504
3/2/2021,3,2,2021,830000,947000,1.38,55.69,14379,14235
2/2/2021,2,2,2021,837000,954000,1.38,54.76,14114,13974
1/2/2021,1,2,2021,838000,955000,1.38,53.55,14154,14014
31/01/2021,31,1,2021,836000,954000,1.55,52.2,14154,14014
30/01/2021,30,1,2021,836000,954000,1.55,52.2,14154,14014
29/01/2021,29,1,2021,836000,954000,1.55,52.2,14154,14014
28/01/2021,28,1,2021,833000,952000,1.55,52.34,14190,14048
27/01/2021,27,1,2021,837000,956000,1.55,52.85,14161,14021
26/01/2021,26,1,2021,839000,958000,1.55,52.61,14156,14016
25/01/2021,25,1,2021,839000,958000,1.55,52.77,14152,14012
24/01/2021,24,1,2021,838000,957000,1.55,52.27,14124,13984
23/01/2021,23,1,2021,838000,957000,1.55,52.27,14124,13984
22/01/2021,22,1,2021,842000,961000,1.55,52.27,14124,13984
21/01/2021,21,1,2021,844000,963000,1.55,53.13,14109,13969
20/01/2021,20,1,2021,833000,954000,1.55,53.24,14135,13995
19/01/2021,19,1,2021,831000,952000,1.55,52.98,14156,14016
18/01/2021,18,1,2021,821000,944000,1.55,52.36,14150,14010
17/01/2021,17,1,2021,828000,948000,1.55,52.2,14138,13998
16/01/2021,16,1,2021,828000,948000,1.55,52.36,14138,13998
15/01/2021,15,1,2021,838000,956000,1.55,52.36,14138,13998
14/01/2021,14,1,2021,837000,955000,1.55,53.57,14190,14048
13/01/2021,13,1,2021,849000,965000,1.55,52.91,14180,14038
